"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","dcll.mdrlv","src/main/java/dcll/mdrlv/WebStandardConverter.java","3","13","Abstract classes should be named AbstractXXX","Naming Rules","AbstractNaming"
"2","dcll.mdrlv","src/main/java/dcll/mdrlv/WebStandardConverter.java","3","18","Possible unsafe assignment to a non-final static field in a constructor.","Design Rules","AssignmentToNonFinalStatic"
"3","dcll.mdrlv","src/main/java/dcll/mdrlv/WebStandardConverter.java","2","18","The Logger variable declaration does not contain the static and final modifiers","Java Logging Rules","LoggerIsNotStaticFinal"
"4","dcll.mdrlv","src/main/java/dcll/mdrlv/WebStandardConverter.java","3","48","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"5","dcll.mdrlv","src/main/java/dcll/mdrlv/WebStandardConverter.java","3","51","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"6","dcll.mdrlv","src/main/java/dcll/mdrlv/WebStandardConverter.java","3","58","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"7","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","3","25","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"9","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","3","42","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"10","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","3","61","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"11","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","5","63","Found 'DU'-anomaly for variable 'path' (lines '63'-'72').","Controversial Rules","DataflowAnomalyAnalysis"
"12","dcll.mdrlv.ihm","src/main/java/dcll/mdrlv/ihm/CustomFileFilter.java","3","63","Local variable 'path' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
